sample_id	run_accession
A55_01_1FE	SRR7658579
V12_01_2FE	SRR7658580
A32_01_1FE	SRR7658581
A94_01_1FE	SRR7658582
A39_04_1FE	SRR7658583
A04_01_1FE	SRR7658584
A13_03_1FE	SRR7658585
A53_01_1FE	SRR7658586
A70_03_1FE	SRR7658587
A07_01_1FE	SRR7658588
A25_01_1FE	SRR7658589
A62_03_1FE	SRR7658590
A54_02_1FE	SRR7658591
A46_02_1FE	SRR7658592
A58_03_1FE	SRR7658593
A48_05_1FE	SRR7658594
A91_02_1FE	SRR7658595
V07_01_2FE	SRR7658596
A73_01_1FE	SRR7658597
A49_01_1FE	SRR7658598
A34_01_1FE	SRR7658599
A47_01_1FE	SRR7658600
A72_01_1FE	SRR7658601
A43_02_1FE	SRR7658602
A29_01_1FE	SRR7658603
V36_02_2FE	SRR7658604
V48_03_2FE	SRR7658605
A24_02_1FE	SRR7658606
V50_01_2FE	SRR7658607
A70_01_1FE	SRR7658608
A05_01_1FE	SRR7658609
A06_01_1FE	SRR7658610
A03_01_1FE	SRR7658611
A82_02_1FE	SRR7658612
A67_01_1FE	SRR7658613
V50_01_1FE	SRR7658614
V07_02_2FE	SRR7658615
V32_02_2FE	SRR7658616
A19_03_1FE	SRR7658617
A24_04_1FE	SRR7658618
A27_02_1FE	SRR7658619
A10_01_1FE	SRR7658620
A81_03_1FE	SRR7658621
A44_01_1FE	SRR7658622
A91_01_1FE	SRR7658623
A20_03_1FE	SRR7658624
V50_02_1FE	SRR7658625
A34_02_1FE	SRR7658626
A14_01_1FE	SRR7658627
A36_01_1FE	SRR7658628
A72_02_1FE	SRR7658629
A85_01_1FE	SRR7658630
A40_02_1FE	SRR7658631
A01_02_1FE	SRR7658632
A19_01_1FE	SRR7658633
A42_02_1FE	SRR7658634
V19_02_2FE	SRR7658635
A41_01_1FE	SRR7658636
A81_01_1FE	SRR7658638
A39_02_1FE	SRR7658637
A73_02_1FE	SRR7658639
A93_01_1FE	SRR7658640
A92_01_1FE	SRR7658641
V30_01_1FE	SRR7658642
A83_02_1FE	SRR7658643
A04_04_1FE	SRR7658644
A55_02_1FE	SRR7658645
V01_01_1FE	SRR7658646
A79_02_1FE	SRR7658647
A95_01_1FE	SRR7658648
A62_01_1FE	SRR7658649
A47_02_1FE	SRR7658650
A39_01_1FE	SRR7658651
A69_01_1FE	SRR7658652
A08_01_1FE	SRR7658653
A90_03_1FE	SRR7658654
V54_01_1FE	SRR7658655
A94_03_1FE	SRR7658656
A15_02_1FE	SRR7658657
A69_02_1FE	SRR7658658
A89_01_1FE	SRR7658659
A59_01_1FE	SRR7658660
V40_01_1FE	SRR7658661
A68_01_1FE	SRR7658662
V18_02_1FE	SRR7658663
V53_02_1FE	SRR7658664
V31_01_2FE	SRR7658665
A75_02_1FE	SRR7658666
A09_02_1FE	SRR7658667
A28_02_1FE	SRR7658668
A90_04_1FE	SRR7658669
A88_02_1FE	SRR7658670
A89_02_1FE	SRR7658671
A09_01_1FE	SRR7658672
A94_02_1FE	SRR7658673
A46_01_1FE	SRR7658674
A66_02_1FE	SRR7658675
A11_01_1FE	SRR7658676
V19_01_2FE	SRR7658677
A13_01_1FE	SRR7658678
A56_01_1FE	SRR7658679
A23_01_1FE	SRR7658680
A58_01_1FE	SRR7658681
A20_01_1FE	SRR7658682
A36_02_1FE	SRR7658683
A35_01_1FE	SRR7658684
A48_01_1FE	SRR7658685
A22_01_1FE	SRR7658686
A02_01_1FE	SRR7658687
A10_02_1FE	SRR7658688
A45_02_1FE	SRR7658689
V06_02_1FE	SRR7658690
